地域,ホテル名,評価,評価件数,料金,食事,チェックイン,部屋,プラン,詳細
兵庫県 北野・新神戸,六甲布引温泉　料亭旅館　ほてるＩＳＡＧＯ神戸,3.6,32,4950円 / 名,食事なし,15:00,和室12畳【風呂なし・トイレ付】■WIFI無料■,【素泊まり】新神戸駅から徒歩5分の隠れ家宿　×　天然温泉を堪能　！「シンプルステイプラン」,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDEzNjA3MTgsMzQ1NTY1LDAwOTQ2NDIsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲・北神,神戸天空温泉　銀河の湯（みのたにグリーンスポーツホテル）,4,31,5500円 / 名,朝のみ,15:00,【全室パノラマビュー】和室　10畳　36平米,【朝食付】休前日は露天風呂を満喫☆夜景プラン【銀河の湯とグリル異人館】11/1～,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI3MzI2NzUsMzAzMDg2LDAzMzgyNDUsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲・北神,神戸天空温泉　銀河の湯（みのたにグリーンスポーツホテル）,4,31,5500円 / 名,朝のみ,15:00,【全室パノラマビュー】和室　10畳　36平米,【朝食付】平日5室限定☆秋の温泉プラン☆ゴルフにも最適！【銀河の湯とグリル異人館】10/1～,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI2Nzc1MTcsMzAzMDg2LDAzMzgyNDUsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲・北神,神戸天空温泉　銀河の湯（みのたにグリーンスポーツホテル）,4,31,5500円 / 名,朝のみ,15:00,【全室パノラマビュー】和室　10畳　36平米,【朝食付】平日のみ！5名様以上限定のグループプラン☆選べる特典付き☆,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI3MzI3MjEsMzAzMDg2LDAzMzgyNDUsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲・北神,神戸天空温泉　銀河の湯（みのたにグリーンスポーツホテル）,4,31,5500円 / 名,朝のみ,15:00,【全室パノラマビュー】和室　10畳　36平米,【朝食付】紅葉の季節☆露天風呂で夜景満喫プラン【銀河の湯とグリル異人館】10/1～,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI2ODc5ODksMzAzMDg2LDAzMzgyNDUsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲・北神,神戸天空温泉　銀河の湯（みのたにグリーンスポーツホテル）,4,31,5500円 / 名,朝のみ,15:00,【全室パノラマビュー】和室　10畳　36平米,【朝食付】六甲国際ゴルフ倶楽部ご利用の方の平日限定プラン【銀河の湯とグリル異人館】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI3MzY5NTMsMzAzMDg2LDAzMzgyNDUsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲・北神,神戸天空温泉　銀河の湯（みのたにグリーンスポーツホテル）,4,31,5500円 / 名,朝のみ,15:00,【全室パノラマビュー】和室　10畳　36平米,【朝食付】平日は朝食無料サービスプラン【銀河の湯とグリル異人館】1/1～,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI3MzI4NzksMzAzMDg2LDAzMzgyNDUsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 有馬,有馬温泉　元湯　古泉閣,4.1,45,5980円 / 名,食事なし,15:00,【古泉閣・宿泊】湯どまり（お部屋は宿任せ43～65平米）,【　じゃらんスペシャルウィーク　】【古泉閣・宿泊】湯どまり（お部屋はお任せ43～65平米)【素泊まり】,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI3MjMzOTgsMzc0NjczLDAzMTQyMjcsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 北野・新神戸,六甲布引温泉　料亭旅館　ほてるＩＳＡＧＯ神戸,3.6,32,6050円 / 名,食事なし,15:00,和室12畳【風呂あり・トイレ付】■WIFI無料■,【素泊まり】新神戸駅から徒歩5分の隠れ家宿　×　天然温泉を堪能　！「シンプルステイプラン」,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDEzNjA3MTgsMzQ1NTY1LDAwOTQ2NDEsLCwsMSwxLDYsLCwsLCwwNCwwMg==
兵庫県 六甲アイランド,神戸ベイシェラトン　ホテル＆タワーズ,4.4,366,6400円 / 名,食事なし,15:00,【シェラトンフロア】コネクティングルーム　36平米+36平米/禁煙,【早割30】早期予約30日前までの特別レート,https://www.jalan.net/JwsRedirect.do?key=sgr16d7ff344d6&rd_key=MDI1MjEwNjMsMzMzNzU2LDAxMzQ5NzIsLCwsMSwxLDYsLCwsLCwwNCwwMg==
